Name,Height (m),Height (ft),lat,long,
Eididh nan Clach Geala,927,3041,57.813343,-4.9356683,
Seana Bhraigh,926,3038,57.846565,-4.8979217,
Glas Leathad Mor (Ben Wyvis),1046,3432,57.678186,-4.5808282,
Ben Hope,927,3041,58.412655,-4.6086743,
Ben Klibreck - Meall nan Con,962.1,3156,58.235022,-4.4116218,
Ben More Assynt,998,3274,58.137726,-4.8586846,
Conival,987,3238,58.135359,-4.8839811,
Sgurr nan Gillean,966.1,3170,57.247351,-6.1940225,
Am Basteir,934,3064,57.247915,-6.2040405,
Bruach na Frithe,958.8,3146,57.245846,-6.2120991,
Sgurr a' Mhadaidh,918,3012,57.230789,-6.2319366,
Sgurr a' Ghreadaidh,972.1,3189,57.227094,-6.2348288,
Sgurr na Banachdich,965,3166,57.220544,-6.242366,
Sgurr Dearg - Inaccessible Pinnacle,985.8,3234,57.212705,-6.2348352,
Sgurr Mhic Choinnich,948.1,3111,57.20856,-6.2244163,
Sgurr Alasdair,992,3255,57.205873,-6.2241087,
Sgurr Dubh Mor,944,3097,57.20447,-6.2123489,
Sgurr nan Eag,926.3,3039,57.195511,-6.2113271,
Blabheinn [Bla Bheinn],929,3048,57.219159,-6.0946748,
Ben More ,966,3169,56.424108,-6.0152005,
